,smiles,are_tox
1652,C(CNCC1=CC=CC=C1)NCC2=CC=CC=C2.[H][C@]34SC(C)(C)[C@@H](N3C(=O)[C@@]4([H])NC(=O)CC5=CC=CC=C5)C(O)=O.[H][C@]67SC(C)(C)[C@@H](N6C(=O)[C@@]7([H])NC(=O)CC8=CC=CC=C8)C(O)=O,0
2138,[Na+].CCCCCCCCCC(CC)C1=CC=C(C=C1)S([O-])(=O)=O,0
2306,O=C1C=C(OC2=CC=CC=C12)C3=CC=CC=C3,1
1362,FC1=CC=C(C=C1)C(=O)CCCCl,0
2087,OC(=O)C1(CC1)C(=O)NC2=CC=C(Cl)C=C2Cl,1
1212,NC1=C(C=C(C(=C1)C(Cl)=C(Cl)Cl)S(N)(=O)=O)S(N)(=O)=O,0
1561,CN1N(C(=O)C(I)=C1C)C2=CC=CC=C2,0
1886,[O-][N+](=O)C1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34,1
1844,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,1
5962,CCCCCCC(C)O,0
5957,CC(O)C(CO)C(C)O,0
4141,CCCCC1=CC=C(Cl)C=C1,0
1170,N[C@@H]1CONC1=O,0
3218,Cl.[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]4(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]4([H])C2,0
2692,C[C@@H]1CCC=C2CC[C@H](C[C@@]12C)C(C)=C,1
2864,[Na+].[Na+].[O-]S(=O)(=O)OOS([O-])(=O)=O,0
5979,CC1=CC(=O)CCC1,0
5381,O=C1CCCCC1,0
1323,CC(C)NCC(O)C1=CC=C(C=C1)[N+]([O-])=O,0
7022,O=S1(=O)CC=CC1,0
1918,NCC1=CC=CC(=C1)C2CCN(CC2)C(=O)C3=CC=C(O3)C#CC4=CC=CC=C4F,1
5120,Cl.COC1=CC=C(N)C=C1,0
5708,ClC(Cl)=C,0
2431,CC(=C/CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C,1
6022,CC1=CC(C)=C(C(O)=O)C(C)=C1,0
387,CN1C(C)=NC=C1[N+]([O-])=O,0
4558,FC1=CC=CC(F)=C1C(=O)NC(=O)NC2=CC=C(Cl)C=C2,0
1032,CN(C)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2,0
4603,NC1=CC=C(C=C1)C(O)=O,0
4085,CCCCOCC1CO1,0
6144,CCCCOC(O)CC,0
3091,OC1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,0
6743,CC\C=C/CCOC(=O)CC,0
2963,CCOC(=O)CC(=O)C1=CC=CC=C1,0
1010,CCN(CC)CC1=NC=CN1C2=CC=C(C=C2C(=O)C3=CC=CC=C3Cl)[N+]([O-])=O,1
6834,OC(=O)CCCCCCCCC(O)=O,0
931,O.Cl.CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,0
2124,[Na+].CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(C=C2)=[N+](CC)CC)C3=CC=C(C=C3S([O-])(=O)=O)S([O-])(=O)=O,0
691,[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,0
533,[Na+].CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(C=C2)=[N+](CC)CC)C3=C(C=CC(=C3)S([O-])(=O)=O)S([O-])(=O)=O,0
2521,CCOC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OCC)C=CC=C1,0
3757,O=NN1CCOCC1,0
3866,CC(C)=CCl,0
652,CC(C)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2,0
33,CCOC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC(Cl)=C2Cl)C(=O)OC,1
4829,[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,0
44,C[C@@H](N)C(O)=O,0
3523,CC(C)(C)C1=CC=C(O)C=C1,0
2402,CC(=O)\C=C\C1=C(C)CCCC1(C)C,0
964,Cl.OC(CCN1CCCC1)(C2CCCCC2)C3=CC=CC=C3,0
2155,CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N2CCC(CCN3C4CCC3CC(C4)N5C(C)=NC6=C5C=CC=C6)(CC2)C7=CC(F)=CC=C7,1
5259,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,0
6315,Cl.CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,0
5928,CCC(C)CO,1
3408,CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O,1
6994,[H]\C(C(=O)NC)=C(\C)OP(=O)(OC)OC,0
4988,CCCCCCCCCCCCCC(=O)OC(C)C,0
5093,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1,0
7111,OCC1CCC2C3CC(CC3CO)C12,0
2404,CC1=CC(C)=CC(C)=C1,0
2656,OS(O)(=O)=O.CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H]4[C@H](O)CC5=C4C=CC=C5,0
26,Cl.COC1=CC=CC(=C1)C(=O)CCN[C@@H](C)[C@H](O)C2=CC=CC=C2,1
6245,CCCOC(OCCC)OCCC,0
63,CC1=C2C=CC=NC2=C(O)C=C1,1
1044,[H][C@]1(CN(C)[C@]2([H])CC3=CN(C)C4=CC=CC(=C34)[C@@]2([H])C1)NS(=O)(=O)N(C)C,0
2789,COC1=NC(C)=NC(N)=N1,0
4696,CCCC(O)C(CC)CO,0
2759,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0
1454,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCCC1=NC(C)=C2N1NC(=NC2=O)C3=CC(=CC=C3OCC)S(=O)(=O)N4CCN(CC)CC4,1
227,[Cl-].CC[N+](CC)(CC)CC,0
4586,O[C@H]([C@@H](O)C(O)=O)C(O)=O.C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(C3=CC=CC=C3)C4=CC=CC=C4,0
3193,CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C,0
3442,CCCCCCCCCCCCCC(=O)OCC(O)CO,0
6318,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0
6455,COC(=O)C1=CC=C(C=C1)C(=O)OC,0
3123,CCCCCCCCCCCCCCO,0
6180,CCCCC1=CC=CC=C1,0
969,Cl.COC(=O)[C@@H](N)CC1=CC(O)=C(O)C=C1,0
4685,CC1=CC=C(O)C=C1,0
6328,OC(=O)C(Cl)(Cl)Cl,0
6867,CC(=C)C(=O)OCC1CCCO1,0
5404,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,0
5072,CCCCCCCCCCC=O,0
2833,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0
5803,CC(=O)OCCC1=CC=CC=C1,0
5931,CCC(C)NC(N)=O,0
2666,CCCCCCCCCC(=O)OC,0
6820,OC(=O)C1=CC=CO1,0
4224,CN1C=NC2=C1NC(N)=NC2=O,0
6757,CCCCCCCC(=O)OC,0
2298,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C,1
252,C(N1CCN(CC1)C2=NC=CC=N2)C3=CC4=C(OCO4)C=C3,0
5698,CCCCCCCCCCCCOC(=O)C(C)=C,0
4634,[H][C@@]12CC=C3[C@@]4(C[C@]14CCC(O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)C2(C)C)CC[C@]6(C)C7C(C[C@@]36C)OC8(C[C@H]7C)OC(O)C9(C)OC89,0
1578,O=C1NC2=C(C=CC=C2)N1C3CCNCC3,0
2585,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C2=CC(Cl)=C(O)C(Cl)=C2,1
4935,CC(=O)C(O)=O,1
3424,COCCOC(=O)C1=C(C=CC=C1)C(=O)OCCOC,0
2922,Cl.N[C@@H](CS)C(O)=O,0
1839,OC1=CC=C(C=C1)C2(CC3CC2C4CCCC34)C5=CC=C(O)C=C5,1
4507,CCCCCCCCCCC(O)=O,0
4894,CC(C)=CC(C)(C)C,0
1882,Cl.NC1=CC=C(C=C1)C(C2=CC=C(N)C=C2)=C3C=CC(=N)C=C3,1
5274,CC1=CC(=C(O)C=C1)[N+]([O-])=O,0
4091,CCCCS,0
5700,CC(=C)C(=O)OCCO,0
2949,CC1=C(Cl)C=C(N)C=C1,0
641,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC2=CC=CC=C2,0
6940,OCCN1CCNC1=O,0
4028,CC1=C2N3C=NN=C3SC2=CC=C1,1
2245,CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,1
297,Cl.CCCNC(C)(C)COC(=O)C1=CC=CC=C1,0
303,Cl.CN(C)CCN(CC1=CC=C(Cl)C=C1)C2=NC=CC=C2,0
5364,CCCSC(=O)N(CCC)CCC,0
3450,[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=C1C=CC=C3)C(C)C,0
3269,OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0
5659,[H][C@]12C[C@]1(CC(=O)[C@@H]2C)C(C)C,0
5924,CC(CN)CC(C)(C)CCN,0
6944,O=C(C1=CC2=C(C=C1)C(=O)OC2=O)C3=CC4=C(C=C3)C(=O)OC4=O,0
655,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCC2=NC=CC=C2,0
3832,[Na+].CP([O-])(=O)OCCC[Si](O)(O)O,0
4857,O.O.[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl,0
4860,[Na+].[O-]S(=O)(=O)C(CC(=O)OC1CCCCC1)C(=O)OC2CCCCC2,0
2850,CC(C)(C)C(O)C(CC1=CC=C(Cl)C=C1)N2C=NC=N2,0
240,CS(=O)(=O)NC1=CC=C(C=C1OC2=CC=CC=C2)[N+]([O-])=O,0
783,CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,0
1354,CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)CC4=CC=CC=C4,0
1018,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)OCCCOC(=O)C(C)(C)OC2=CC=C(Cl)C=C2,0
5003,CC(O)C(C)O,0
977,OC(O)C(Cl)(Cl)Cl,0
809,Cl.C[N+](C)(C)CC(O)CC([O-])=O,0
3801,[Cl-].C[N+](C)(C)CC1=CC=CC=C1,0
6467,COC(OC)OC,0
257,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]3([H])[C@@]2([H])C=CC4=CC(=O)CC[C@@]34C,1
1599,OP(O)(=O)CN1C(=O)C(=O)NC2=CC(=C(C=C12)N3CCOCC3)C(F)(F)F,0
893,Cl.CN1CCN(CC1)C2=C(F)C=C3C(=O)C(=CN4CCSC2=C34)C(O)=O,0
6376,CC1=NC2=CC=C(Cl)C=C2N1,0
6281,CCOCCOCCOC(C)=O,0
5282,OC1=CC=CC(=C1)[N+]([O-])=O,1
6755,CCCCCC(=O)OCC\C=C/CC,0
3749,O=C1CCCN1C2CCCCC2,0
6337,NC(=O)C(Cl)Cl,0
1620,OC(=O)C1=C(C=CC=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0
2288,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,1
3412,CC1=NN(C(=O)C1)C2=CC=C(C=C2)C(O)=O,0
6817,OC(=O)C1=CC=CC=C1,0
6423,CCCCCCCCCCCCCCCCN(C)C,0
3519,CNC(=O)O\N=C\C(C)(C)S(C)=O,0
5140,ClC(=O)C1=C(Cl)C(Cl)=C(C(Cl)=O)C(Cl)=C1Cl,0
1357,OC(=O)CCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,0
4940,CC(=O)C1CCOC1=O,0
7113,CC1=CC=CC=C1CCO,0
2338,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,0
5454,CCCCCCOCCOCCO,0
2569,CC(=O)C1=CC(=CC2=C1CCC2(C)C)C(C)(C)C,0
7137,COCCOCCO,0
2117,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,0
4778,FC(F)(F)OC1=CC=C(NC(=O)NC(=O)C2=CC=CC=C2Cl)C=C1,0
6379,ClC1=C(Cl)C=CC=C1,0
2484,CC(C)CC(=O)C1C(=O)C2=C(C=CC=C2)C1=O,0
2225,[Na+].CC1=C(Br)C(O)=C(Br)C=C1\C(=C2\C=C(Br)C(=O)C(Br)=C2C)C3=C(C=CC=C3)S([O-])(=O)=O,0
4456,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C,0
2024,ClC1=C(Cl)C(=O)SS1,1
6050,CC1=CC=C(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=C(O)C=C2)C=C1,1
4205,OS(=O)(=O)C(F)(F)F,0
4817,OC1=CC=CC=C1,0
4174,CN1C(COC(N)=O)=NC=C1[N+]([O-])=O,0
4217,N#CCCSCCC#N,0
2842,O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O,1
6844,OC(=O)COCC(O)=O,0
2758,OC[C@@H]1CC[C@@H](O1)N2C=NC3=C2N=CNC3=O,0
1092,[H][C@@]1(C[C@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C3=CC=NC4=CC=C(OC)C=C34,0
5761,CC(=C)C(=O)OCC1CO1,0
124,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)COC3=C(C)C=CC=C3C)CC4=CC=CC=C4,1
3473,[Na+].CC(C)COC(=O)CC(C(=O)OCC(C)C)S([O-])(=O)=O,0
5223,FC1=CC=C(NC(=O)C2=C(OC3=CC(=CC=C3)C(F)(F)F)N=CC=C2)C(F)=C1,0
6268,CCO[Si](CCCS)(OCC)OCC,0
2095,CCCOCC(C)O,0
2561,[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(=CC4=CC(NC(=O)C5=CC=CC=C5)=CC=C14)S([O-])(=O)=O,1
4108,CCOCCOC(=O)C(C)=C,0
1553,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,0
3318,CC(C)C1=CC=CC(C(C)C)=C1O,0
5608,[OH-].C[N+](C)(C)CCO,0
598,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](C)C4=CC(=O)CC[C@]34C,0
75,CC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN4CCC(CCO)CC4)C=C1,0
1339,CC(=O)NC1=NC=C(S1)[N+]([O-])=O,0
1416,CC(C)(C)C(=O)NCCCC(O)=O,0
6854,CNC(=O)OC1=C(C=CC=C1)C(C)C,0
1783,OCCOCCN1CCN(CC1)C2=NC3=C(SC4=C2C=CC=C4)C=CC=C3,0
2284,CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,0
3326,CC1=CCCC(C)(C)C1\C=C\C(=O)CCC=C,0
4701,CCCCCCCCCCCCOCC1CO1,0
6384,CN\C(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O,0
149,C(\C=C\C1=CC=CC=C1)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4,1
5424,OC(=O)CCCCC(O)=O,0
1557,C\C(N(CC1=C(N)N=C(C)N=C1)C=O)=C2/CCOC(=O)S2,0
4078,CCCCCCI,0
453,OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C2=CC(C(O)=O)=C(O)C=C2,0
5457,ON1N=NC2=C1C=CC=C2,0
6968,O=CC=O,0
415,CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NN=NN5,0
6760,CCCCOC(=O)CCCCCCCC(=O)OCCCC,0
808,Cl.C[C@H]1CCC[C@@H](C)N1,0
1891,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,1
3478,[O-][N+](=O)C1=CC=CC=C1,0
7075,CC(=O)NC1=CC=C(O)C=C1,0
1805,F[B-](F)(F)F.CCCCCCCCCCCCN1C=C[N+](C)=C1,1
1119,[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)C3(F)[C@@]([H])(O)C[C@]2(C)[C@@]1(OC(=O)CC)C(=O)COC,0
5964,CC(O)CN,0
810,Cl.C1C2CNCC1C3=CC4=C(C=C23)N=CC=N4,0
4215,OC(=O)CC#N,0
1129,CS(O)(=O)=O.CC1=CC=C2N3CCNC4CCCC(C2=C1)=C34,0
834,Cl.CCCCN1CCCC[C@H]1C(=O)NC2=C(C)C=CC=C2C,0
4782,CC(O)C(O)=O,0
6449,CO[Si](CCCNCCN)(OC)OC,0
6851,COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C2/SC(=O)N3CCCCN23,0
7079,COC(=O)C1=C(O)C=CC=C1,0
1235,CC1=NC=C(CNC(=O)N(CCCl)N=O)C(N)=N1,0
1225,NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C2=CC=CC=C2,0
2210,C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C4CO4,1
3248,COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,0
4618,O.O.O.O.[Na+].[O-]C1=C(C=CC=C1)C2=CC=CC=C2,1
6223,CCCCCCCOC(=O)CCC,0
4366,CN1C(=O)C2=C(C=CC=C2)C1=O,0
4705,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4,0
1869,OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,1
5020,CC1=CC(C)=C(N)C=C1C,0
4328,CC1CC(CC(C)(C)C1)OC(=O)C(C)=C,0
1027,CN1C(CCCC(O)=O)=NC2=C1C=CC(=C2)N(CCCl)CCCl,0
3195,CCC(C)(C)CC,0
5028,CC1=CC=C(C)C=C1,0
1657,OC(=O)C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1O,0
349,CNCCCC12CCC(C3=C1C=CC=C3)C4=C2C=CC=C4,0
452,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,0
662,CC(C)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
172,Cl.COC1=CC(CCC2=CC=CC=C2OCC(CN(C)C)OC(=O)CCC(O)=O)=CC=C1,0
1405,COC1=CC(=CC(OC)=C1OC)C(=O)NC2CCCNC2,0
6884,CC(=C)C(=O)OCCOCCOCCOC(=O)C(C)=C,0
4602,NC1=CC=C2C=CC=CC2=C1S(O)(=O)=O,1
4630,C(COC1=CC=CC=C1)OC2=CC=CC=C2,0
422,CCOC(=O)C(C#N)=C(C1=CC=CC=C1)C2=CC=CC=C2,0
2453,CN(C)C1=CC=C(N)C=C1,1
5719,CC(CCC=C(C)C)C=C,0
881,Cl.CN(C)CC\C=C1/C2=C(COC3=C1C=CC=C3)C=CC=C2,0
3554,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,0
1253,NCC1(CC(O)=O)CCCCC1,0
6904,O=C1NC(=S)NC=C1,0
6323,COC(Cl)=O,0
2312,[O-][N+](=O)C(Br)Br,1
6394,ClCC=O,0
6678,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0
2654,CC1=NN(C(N)=C1)C2=CC=CC=C2,0
102,CN(C)CCCN1C2=CC(Cl)=CC=C2CCC3=C1C=CC=C3,0
2462,OC1=CC2=C(C(=O)C=C(O2)C3=CC=CC=C3)C(O)=C1,1
4379,O=NN(C1=CC=CC=C1)C2=CC=CC=C2,0
