description,has_signal
Q9DEN4|EUKARYA|NO_SP|0,0
Q9CZV8|EUKARYA|NO_SP|1,0
P51114|EUKARYA|NO_SP|0,0
Q9UQC2|EUKARYA|NO_SP|1,0
P17649|EUKARYA|NO_SP|2,0
Q9QVC8|EUKARYA|NO_SP|0,0
Q15007|EUKARYA|NO_SP|2,0
P53889|EUKARYA|NO_SP|2,0
P36141|EUKARYA|NO_SP|1,0
Q9P278|EUKARYA|NO_SP|0,0
P55318|EUKARYA|NO_SP|0,0
Q9Y261|EUKARYA|NO_SP|0,0
O16850|EUKARYA|NO_SP|1,0
F4J2K2|EUKARYA|NO_SP|1,0
Q96NE9|EUKARYA|NO_SP|1,0
P36088|EUKARYA|NO_SP|1,0
Q3EBQ3|EUKARYA|NO_SP|1,0
Q9ZVC9|EUKARYA|NO_SP|1,0
Q9S793|EUKARYA|NO_SP|2,0
Q92945|EUKARYA|NO_SP|0,0
Q9PRJ8|EUKARYA|NO_SP|2,0
Q32M02|EUKARYA|NO_SP|1,0
O36024|EUKARYA|NO_SP|1,0
P40099|EUKARYA|NO_SP|0,0
Q8BGW1|EUKARYA|NO_SP|2,0
Q12247|EUKARYA|NO_SP|1,0
Q8GVZ6|EUKARYA|NO_SP|2,0
P83780|EUKARYA|NO_SP|1,0
Q9FWR5|EUKARYA|NO_SP|1,0
P15442|EUKARYA|NO_SP|1,0
Q96RT7|EUKARYA|NO_SP|2,0
O46567|EUKARYA|NO_SP|0,0
Q9SY66|EUKARYA|NO_SP|1,0
Q5UBY2|EUKARYA|NO_SP|1,0
Q8N4E7|EUKARYA|NO_SP|0,0
P35637|EUKARYA|NO_SP|0,0
O74972|EUKARYA|NO_SP|2,0
Q7L622|EUKARYA|NO_SP|1,0
Q9FX54|EUKARYA|NO_SP|2,0
O59812|EUKARYA|NO_SP|1,0
Q04739|EUKARYA|NO_SP|1,0
Q8WUU5|EUKARYA|NO_SP|0,0
Q84P53|EUKARYA|NO_SP|1,0
Q8SY33|EUKARYA|NO_SP|1,0
P62879|EUKARYA|NO_SP|2,0
Q5GIS3|EUKARYA|NO_SP|2,0
P30793|EUKARYA|NO_SP|0,0
H2L099|EUKARYA|NO_SP|0,0
Q8LSN3|EUKARYA|NO_SP|0,0
P42776|EUKARYA|NO_SP|0,0
Q9HDV9|EUKARYA|NO_SP|0,0
O80988|EUKARYA|NO_SP|1,0
Q9VRJ0|EUKARYA|NO_SP|2,0
P30047|EUKARYA|NO_SP|1,0
Q9LR30|EUKARYA|NO_SP|1,0
P40208|EUKARYA|NO_SP|2,0
P38783|EUKARYA|NO_SP|2,0
O13837|EUKARYA|NO_SP|2,0
Q5JY77|EUKARYA|NO_SP|2,0
Q9LRH6|EUKARYA|NO_SP|2,0
P43694|EUKARYA|NO_SP|0,0
Q94CE5|EUKARYA|NO_SP|1,0
Q10282|EUKARYA|NO_SP|0,0
P42775|EUKARYA|NO_SP|0,0
Q9SMN1|EUKARYA|NO_SP|2,0
P16068|EUKARYA|NO_SP|1,0
P39958|EUKARYA|NO_SP|2,0
P39993|EUKARYA|NO_SP|1,0
Q09733|EUKARYA|NO_SP|1,0
Q9VVX0|EUKARYA|NO_SP|1,0
P55163|EUKARYA|NO_SP|1,0
Q9P7R5|EUKARYA|NO_SP|1,0
Q9M0A7|EUKARYA|NO_SP|1,0
P27469|EUKARYA|NO_SP|1,0
Q92908|EUKARYA|NO_SP|0,0
A6NHX0|EUKARYA|NO_SP|2,0
Q84P54|EUKARYA|NO_SP|2,0
P97265|EUKARYA|NO_SP|1,0
Q9H227|EUKARYA|NO_SP|1,0
P42777|EUKARYA|NO_SP|0,0
Q94AU7|EUKARYA|NO_SP|1,0
Q27403|EUKARYA|NO_SP|1,0
P33892|EUKARYA|NO_SP|2,0
Q94B78|EUKARYA|NO_SP|1,0
Q9C104|EUKARYA|NO_SP|1,0
P52566|EUKARYA|NO_SP|2,0
Q03555|EUKARYA|NO_SP|1,0
Q8GWW8|EUKARYA|NO_SP|1,0
O70237|EUKARYA|NO_SP|0,0
Q8RWE8|EUKARYA|NO_SP|1,0
Q9LQT8|EUKARYA|NO_SP|0,0
P11862|EUKARYA|NO_SP|1,0
Q9ZPQ3|EUKARYA|NO_SP|1,0
Q8WXD5|EUKARYA|NO_SP|1,0
P34802|EUKARYA|NO_SP|0,0
Q9STX3|EUKARYA|NO_SP|1,0
Q641A1|EUKARYA|NO_SP|0,0
Q6DFA8|EUKARYA|NO_SP|0,0
P34689|EUKARYA|NO_SP|0,0
Q8K1M4|EUKARYA|NO_SP|0,0
P00359|EUKARYA|NO_SP|2,0
Q9M350|EUKARYA|NO_SP|1,0
Q7XJ96|EUKARYA|NO_SP|2,0
Q9H0R6|EUKARYA|NO_SP|2,0
Q8WTX7|EUKARYA|NO_SP|2,0
Q84P52|EUKARYA|NO_SP|2,0
P35573|EUKARYA|NO_SP|1,0
Q9USN5|EUKARYA|NO_SP|1,0
Q99PT1|EUKARYA|NO_SP|2,0
Q32NR9|EUKARYA|NO_SP|1,0
Q9SSQ4|EUKARYA|NO_SP|2,0
P40492|EUKARYA|NO_SP|1,0
Q9C6B3|EUKARYA|NO_SP|1,0
Q09785|EUKARYA|NO_SP|1,0
Q9TU03|EUKARYA|NO_SP|2,0
A4FVR1|EUKARYA|NO_SP|2,0
Q9Y2X7|EUKARYA|NO_SP|2,0
P27900|EUKARYA|NO_SP|2,0
O13702|EUKARYA|NO_SP|0,0
Q93YV0|EUKARYA|NO_SP|1,0
Q7L5D6|EUKARYA|NO_SP|0,0
Q5VTD9|EUKARYA|NO_SP|0,0
O22043|EUKARYA|NO_SP|2,0
O59703|EUKARYA|NO_SP|2,0
Q9NWU2|EUKARYA|NO_SP|1,0
Q12418|EUKARYA|NO_SP|1,0
P30627|EUKARYA|NO_SP|1,0
P91420|EUKARYA|NO_SP|0,0
Q12315|EUKARYA|NO_SP|2,0
Q61602|EUKARYA|NO_SP|1,0
O22287|EUKARYA|NO_SP|0,0
Q9FMV1|EUKARYA|NO_SP|2,0
P16383|EUKARYA|NO_SP|0,0
Q9SGA2|EUKARYA|NO_SP|1,0
Q8IS21|EUKARYA|NO_SP|1,0
D3YN49|EUKARYA|NO_SP|1,0
Q6L545|EUKARYA|NO_SP|1,0
Q6XP49|EUKARYA|NO_SP|0,0
Q9ZST4|EUKARYA|NO_SP|0,0
P39732|EUKARYA|NO_SP|2,0
P48727|EUKARYA|NO_SP|0,0
Q9VD44|EUKARYA|NO_SP|0,0
G5EFL0|EUKARYA|NO_SP|0,0
Q0WPZ7|EUKARYA|NO_SP|2,0
O94652|EUKARYA|NO_SP|1,0
P32288|EUKARYA|NO_SP|2,0
Q10CE4|EUKARYA|NO_SP|2,0
Q96IJ6|EUKARYA|NO_SP|0,0
P25157|EUKARYA|NO_SP|1,0
P29348|EUKARYA|NO_SP|2,0
Q03557|EUKARYA|NO_SP|1,0
O75879|EUKARYA|NO_SP|0,0
P53260|EUKARYA|NO_SP|1,0
P36408|EUKARYA|NO_SP|2,0
O24456|EUKARYA|NO_SP|0,0
Q12125|EUKARYA|NO_SP|0,0
Q04839|EUKARYA|NO_SP|1,0
Q9N658|EUKARYA|NO_SP|0,0
Q03833|EUKARYA|NO_SP|0,0
O35826|EUKARYA|NO_SP|1,0
Q9VYS4|EUKARYA|NO_SP|1,0
O17087|EUKARYA|NO_SP|1,0
D2WL32|EUKARYA|NO_SP|2,0
P08151|EUKARYA|NO_SP|0,0
Q59W62|EUKARYA|NO_SP|0,0
Q6PBM1|EUKARYA|NO_SP|0,0
Q9HDW8|EUKARYA|NO_SP|0,0
Q2QPW1|EUKARYA|NO_SP|1,0
Q99JY3|EUKARYA|NO_SP|0,0
Q04233|EUKARYA|NO_SP|2,0
Q2KIR7|EUKARYA|NO_SP|1,0
O13426|EUKARYA|NO_SP|2,0
Q94JQ3|EUKARYA|NO_SP|0,0
G5EEN4|EUKARYA|NO_SP|0,0
P06537|EUKARYA|NO_SP|0,0
Q9LQL0|EUKARYA|NO_SP|0,0
Q9Y7U3|EUKARYA|NO_SP|1,0
P53849|EUKARYA|NO_SP|1,0
Q9FFH0|EUKARYA|NO_SP|2,0
P39726|EUKARYA|NO_SP|0,0
Q8GY54|EUKARYA|NO_SP|2,0
Q95UQ1|EUKARYA|NO_SP|1,0
Q5ZR76|EUKARYA|NO_SP|2,0
Q9NWZ8|EUKARYA|NO_SP|1,0
Q9M0A5|EUKARYA|NO_SP|1,0
P25569|EUKARYA|NO_SP|1,0
Q59VM7|EUKARYA|NO_SP|1,0
Q02784|EUKARYA|NO_SP|0,0
Q9C102|EUKARYA|NO_SP|1,0
Q12393|EUKARYA|NO_SP|2,0
Q8VZS6|EUKARYA|NO_SP|2,0
Q9FN69|EUKARYA|NO_SP|2,0
Q95ZK7|EUKARYA|NO_SP|1,0
Q53GS7|EUKARYA|NO_SP|1,0
Q9LRR9|EUKARYA|NO_SP|2,0
Q9LRS0|EUKARYA|NO_SP|2,0
B7ZFT1|EUKARYA|NO_SP|1,0
Q9DB00|EUKARYA|NO_SP|2,0
P46984|EUKARYA|NO_SP|1,0
Q8SR40|EUKARYA|NO_SP|1,0
P47122|EUKARYA|NO_SP|0,0
Q08726|EUKARYA|NO_SP|0,0
P81274|EUKARYA|NO_SP|2,0
Q9NW75|EUKARYA|NO_SP|0,0
O75791|EUKARYA|NO_SP|2,0
Q14449|EUKARYA|NO_SP|0,0
Q9ZR12|EUKARYA|NO_SP|2,0
Q9BQ67|EUKARYA|NO_SP|0,0
Q9Z1B2|EUKARYA|NO_SP|1,0
P30713|EUKARYA|NO_SP|0,0
Q8L7C9|EUKARYA|NO_SP|2,0
Q9JI57|EUKARYA|NO_SP|2,0
P36156|EUKARYA|NO_SP|2,0
D2XV59|EUKARYA|NO_SP|0,0
O94250|EUKARYA|NO_SP|1,0
Q05926|EUKARYA|NO_SP|2,0
Q0JKD0|EUKARYA|NO_SP|0,0
Q9NZD2|EUKARYA|NO_SP|1,0
P21279|EUKARYA|NO_SP|2,0
F3Y5P4|EUKARYA|NO_SP|2,0
Q3V6T2|EUKARYA|NO_SP|1,0
P38715|EUKARYA|NO_SP|0,0
Q9NZI5|EUKARYA|NO_SP|2,0
Q03569|EUKARYA|NO_SP|1,0
Q08969|EUKARYA|NO_SP|1,0
Q12068|EUKARYA|NO_SP|2,0
Q5FWH3|EUKARYA|NO_SP|2,0
Q9C469|EUKARYA|NO_SP|1,0
Q8GWS0|EUKARYA|NO_SP|0,0
O94246|EUKARYA|NO_SP|1,0
Q9FHE1|EUKARYA|NO_SP|0,0
Q923K4|EUKARYA|NO_SP|0,0
Q56WN1|EUKARYA|NO_SP|2,0
P34897|EUKARYA|NO_SP|1,0
A8MTJ3|EUKARYA|NO_SP|2,0
P39717|EUKARYA|NO_SP|1,0
Q95QJ7|EUKARYA|NO_SP|1,0
P15505|EUKARYA|NO_SP|0,0
O77512|EUKARYA|NO_SP|1,0
Q49A26|EUKARYA|NO_SP|2,0
P04899|EUKARYA|NO_SP|2,0
Q9SCX9|EUKARYA|NO_SP|0,0
P32191|EUKARYA|NO_SP|0,0
P36970|EUKARYA|NO_SP|2,0
Q9U405|EUKARYA|NO_SP|1,0
Q60760|EUKARYA|NO_SP|1,0
Q14451|EUKARYA|NO_SP|0,0
Q9UU96|EUKARYA|NO_SP|0,0
Q08622|EUKARYA|NO_SP|1,0
Q9S7E9|EUKARYA|NO_SP|1,0
E5RQA1|EUKARYA|NO_SP|1,0
Q22663|EUKARYA|NO_SP|1,0
Q9Y7N3|EUKARYA|NO_SP|2,0
Q86SX6|EUKARYA|NO_SP|0,0
Q8TAX9|EUKARYA|NO_SP|2,0
Q60EZ2|EUKARYA|NO_SP|0,0
P78417|EUKARYA|NO_SP|2,0
Q9UT36|EUKARYA|NO_SP|1,0
Q08886|EUKARYA|NO_SP|1,0
Q86WP2|EUKARYA|NO_SP|2,0
P27601|EUKARYA|NO_SP|2,0
P63096|EUKARYA|NO_SP|2,0
Q9NVN8|EUKARYA|NO_SP|2,0
O59762|EUKARYA|NO_SP|1,0
O42906|EUKARYA|NO_SP|0,0
P40106|EUKARYA|NO_SP|1,0
O49506|EUKARYA|NO_SP|2,0
P17695|EUKARYA|NO_SP|1,0
P08754|EUKARYA|NO_SP|2,0
Q96QA5|EUKARYA|NO_SP|2,0
Q9LX31|EUKARYA|NO_SP|0,0
Q04322|EUKARYA|NO_SP|1,0
O94711|EUKARYA|NO_SP|1,0
Q9VXG1|EUKARYA|NO_SP|0,0
Q99714|EUKARYA|NO_SP|0,0
Q0J7P4|EUKARYA|NO_SP|0,0
Q9ZV65|EUKARYA|NO_SP|0,0
Q9P3U4|EUKARYA|NO_SP|2,0
Q9BXL5|EUKARYA|NO_SP|2,0
Q568P9|EUKARYA|NO_SP|1,0
Q6WQI6|EUKARYA|NO_SP|2,0
C8V4D4|EUKARYA|NO_SP|2,0
Q8LF89|EUKARYA|NO_SP|2,0
P59169|EUKARYA|NO_SP|0,0
Q8LPU4|EUKARYA|NO_SP|1,0
P34470|EUKARYA|NO_SP|1,0
Q9FML2|EUKARYA|NO_SP|1,0
Q92769|EUKARYA|NO_SP|1,0
Q9ERZ0|EUKARYA|NO_SP|2,0
O04921|EUKARYA|NO_SP|0,0
F4KDN0|EUKARYA|NO_SP|2,0
Q550D5|EUKARYA|NO_SP|0,0
Q9C882|EUKARYA|NO_SP|0,0
Q969Y2|EUKARYA|NO_SP|0,0
Q80SU7|EUKARYA|NO_SP|2,0
P35064|EUKARYA|NO_SP|0,0
Q8H991|EUKARYA|NO_SP|1,0
Q9SNQ6|EUKARYA|NO_SP|0,0
Q06623|EUKARYA|NO_SP|1,0
Q76N89|EUKARYA|NO_SP|2,0
Q76PD2|EUKARYA|NO_SP|2,0
Q60848|EUKARYA|NO_SP|1,0
Q10452|EUKARYA|NO_SP|0,0
Q9FE46|EUKARYA|NO_SP|0,0
P09211|EUKARYA|NO_SP|2,0
Q9ZRT5|EUKARYA|NO_SP|0,0
Q8L727|EUKARYA|NO_SP|0,0
Q84XV2|EUKARYA|NO_SP|1,0
Q04806|EUKARYA|NO_SP|2,0
O74544|EUKARYA|NO_SP|0,0
Q9DAN6|EUKARYA|NO_SP|1,0
Q9UBP9|EUKARYA|NO_SP|1,0
Q9SAC6|EUKARYA|NO_SP|2,0
P62804|EUKARYA|NO_SP|0,0
Q96MB7|EUKARYA|NO_SP|1,0
Q96CS2|EUKARYA|NO_SP|1,0
Q9H6D7|EUKARYA|NO_SP|2,0
Q5BKC6|EUKARYA|NO_SP|1,0
Q8R316|EUKARYA|NO_SP|2,0
Q03385|EUKARYA|NO_SP|2,0
O88958|EUKARYA|NO_SP|1,0
Q8C0L9|EUKARYA|NO_SP|2,0
Q8N335|EUKARYA|NO_SP|1,0
P90551|EUKARYA|NO_SP|0,0
P41277|EUKARYA|NO_SP|1,0
Q8K5C0|EUKARYA|NO_SP|2,0
Q9BYG8|EUKARYA|NO_SP|2,0
O74824|EUKARYA|NO_SP|0,0
Q8CCK0|EUKARYA|NO_SP|0,0
Q8T1C6|EUKARYA|NO_SP|2,0
Q9UTL7|EUKARYA|NO_SP|0,0
Q07845|EUKARYA|NO_SP|1,0
Q93V58|EUKARYA|NO_SP|1,0
Q62833|EUKARYA|NO_SP|0,0
Q96305|EUKARYA|NO_SP|2,0
P27456|EUKARYA|NO_SP|0,0
Q9DCM2|EUKARYA|NO_SP|1,0
Q6DBX4|EUKARYA|NO_SP|0,0
Q9N1F5|EUKARYA|NO_SP|2,0
Q9FGW9|EUKARYA|NO_SP|2,0
P48239|EUKARYA|NO_SP|2,0
P53258|EUKARYA|NO_SP|2,0
Q9SS38|EUKARYA|NO_SP|0,0
Q27511|EUKARYA|NO_SP|0,0
P59226|EUKARYA|NO_SP|0,0
Q9I9R0|EUKARYA|NO_SP|1,0
P41546|EUKARYA|NO_SP|2,0
Q75N03|EUKARYA|NO_SP|1,0
Q8H7F6|EUKARYA|NO_SP|0,0
Q12849|EUKARYA|NO_SP|0,0
Q9P0R6|EUKARYA|NO_SP|1,0
Q9UUH7|EUKARYA|NO_SP|0,0
P62787|EUKARYA|NO_SP|0,0
Q0WP44|EUKARYA|NO_SP|1,0
O94927|EUKARYA|NO_SP|2,0
Q9V4C8|EUKARYA|NO_SP|2,0
Q55BW2|EUKARYA|NO_SP|1,0
O22446|EUKARYA|NO_SP|1,0
Q13547|EUKARYA|NO_SP|1,0
Q6K678|EUKARYA|NO_SP|1,0
Q8K4P8|EUKARYA|NO_SP|2,0
Q8NEC7|EUKARYA|NO_SP|1,0
Q18973|EUKARYA|NO_SP|1,0
Q07729|EUKARYA|NO_SP|1,0
Q9AWA5|EUKARYA|NO_SP|1,0
P07305|EUKARYA|NO_SP|2,0
Q9U281|EUKARYA|NO_SP|0,0
Q402E2|EUKARYA|NO_SP|0,0
Q8CHM7|EUKARYA|NO_SP|0,0
Q07653|EUKARYA|NO_SP|2,0
P53834|EUKARYA|NO_SP|1,0
P34243|EUKARYA|NO_SP|1,0
O42227|EUKARYA|NO_SP|1,0
Q8MT06|EUKARYA|NO_SP|0,0
Q8TE85|EUKARYA|NO_SP|2,0
P38647|EUKARYA|NO_SP|0,0
Q9P6M1|EUKARYA|NO_SP|1,0
Q96266|EUKARYA|NO_SP|0,0
P48566|EUKARYA|NO_SP|1,0
P04913|EUKARYA|NO_SP|2,0
P0C0S6|EUKARYA|NO_SP|0,0
Q41811|EUKARYA|NO_SP|0,0
P00348|EUKARYA|NO_SP|0,0
Q9Y3E1|EUKARYA|NO_SP|2,0
Q9H583|EUKARYA|NO_SP|0,0
Q9NRV9|EUKARYA|NO_SP|2,0
Q91898|EUKARYA|NO_SP|1,0
P32479|EUKARYA|NO_SP|1,0
P87315|EUKARYA|NO_SP|1,0
O17468|EUKARYA|NO_SP|2,0
P20271|EUKARYA|NO_SP|1,0
Q9ZVW2|EUKARYA|NO_SP|0,0
Q230X8|EUKARYA|NO_SP|1,0
F4K1R2|EUKARYA|NO_SP|2,0
Q9FJH5|EUKARYA|NO_SP|1,0
Q22717|EUKARYA|NO_SP|1,0
Q93356|EUKARYA|NO_SP|2,0
O54879|EUKARYA|NO_SP|1,0
Q9Z130|EUKARYA|NO_SP|0,0
P31942|EUKARYA|NO_SP|2,0
Q794E4|EUKARYA|NO_SP|2,0
P52272|EUKARYA|NO_SP|0,0
P12258|EUKARYA|NO_SP|1,0
Q56R42|EUKARYA|NO_SP|0,0
Q8WNR4|EUKARYA|NO_SP|2,0
Q99871|EUKARYA|NO_SP|2,0
Q3UMU9|EUKARYA|NO_SP|2,0
Q56WH4|EUKARYA|NO_SP|2,0
Q9R257|EUKARYA|NO_SP|2,0
F4HRI2|EUKARYA|NO_SP|1,0
Q05580|EUKARYA|NO_SP|2,0
Q9C5Q8|EUKARYA|NO_SP|1,0
Q12276|EUKARYA|NO_SP|1,0
Q9LS00|EUKARYA|NO_SP|2,0
Q9Y2N7|EUKARYA|NO_SP|2,0
Q0E908|EUKARYA|NO_SP|1,0
Q71PD7|EUKARYA|NO_SP|0,0
Q03532|EUKARYA|NO_SP|1,0
O60381|EUKARYA|NO_SP|2,0
Q99N13|EUKARYA|NO_SP|1,0
P22557|EUKARYA|NO_SP|1,0
Q9LR75|EUKARYA|NO_SP|0,0
P42043|EUKARYA|NO_SP|2,0
Q9UST9|EUKARYA|NO_SP|0,0
F2Z461|EUKARYA|NO_SP|0,0
O94992|EUKARYA|NO_SP|0,0
Q9DD02|EUKARYA|NO_SP|1,0
Q32SG6|EUKARYA|NO_SP|2,0
Q3HNG7|EUKARYA|NO_SP|0,0
O75367|EUKARYA|NO_SP|0,0
P48003|EUKARYA|NO_SP|0,0
Q12180|EUKARYA|NO_SP|1,0
Q64279|EUKARYA|NO_SP|1,0
Q9Z0R0|EUKARYA|NO_SP|0,0
P46604|EUKARYA|NO_SP|1,0
Q68CZ6|EUKARYA|NO_SP|2,0
Q7Z4H7|EUKARYA|NO_SP|2,0
O74774|EUKARYA|NO_SP|0,0
Q61191|EUKARYA|NO_SP|2,0
P14317|EUKARYA|NO_SP|1,0
O15379|EUKARYA|NO_SP|1,0
P09950|EUKARYA|NO_SP|0,0
Q9FE22|EUKARYA|NO_SP|1,0
Q9JHS2|EUKARYA|NO_SP|2,0
O80528|EUKARYA|NO_SP|1,0
Q9SR77|EUKARYA|NO_SP|0,0
P32769|EUKARYA|NO_SP|2,0
Q9FVE6|EUKARYA|NO_SP|2,0
P11353|EUKARYA|NO_SP|1,0
Q5GLZ8|EUKARYA|NO_SP|1,0
Q8IVU3|EUKARYA|NO_SP|0,0
Q9H422|EUKARYA|NO_SP|1,0
Q8QFR2|EUKARYA|NO_SP|2,0
P46943|EUKARYA|NO_SP|1,0
P08985|EUKARYA|NO_SP|0,0
Q12692|EUKARYA|NO_SP|0,0
Q7Z2G1|EUKARYA|NO_SP|1,0
Q12753|EUKARYA|NO_SP|1,0
Q06629|EUKARYA|NO_SP|1,0
O09106|EUKARYA|NO_SP|1,0
Q7TS99|EUKARYA|NO_SP|0,0
Q9Y5R4|EUKARYA|NO_SP|1,0
O94301|EUKARYA|NO_SP|1,0
F4JRB0|EUKARYA|NO_SP|0,0
Q16665|EUKARYA|NO_SP|2,0
Q53FT3|EUKARYA|NO_SP|1,0
O59836|EUKARYA|NO_SP|1,0
Q9BQA5|EUKARYA|NO_SP|1,0
O24591|EUKARYA|NO_SP|2,0
Q03937|EUKARYA|NO_SP|1,0
I6PL68|EUKARYA|NO_SP|1,0
O59786|EUKARYA|NO_SP|1,0
Q9QYL0|EUKARYA|NO_SP|1,0
Q9QZR5|EUKARYA|NO_SP|1,0
Q8T0S6|EUKARYA|NO_SP|2,0
Q93Z17|EUKARYA|NO_SP|1,0
P47175|EUKARYA|NO_SP|2,0
Q9USN7|EUKARYA|NO_SP|2,0
Q9BUP3|EUKARYA|NO_SP|0,0
F4IN78|EUKARYA|NO_SP|2,0
Q6Q5K6|EUKARYA|NO_SP|1,0
O74648|EUKARYA|NO_SP|1,0
O22941|EUKARYA|NO_SP|2,0
P40060|EUKARYA|NO_SP|2,0
Q21067|EUKARYA|NO_SP|0,0
O35368|EUKARYA|NO_SP|0,0
P0DOV1|EUKARYA|NO_SP|0,0
Q8R5F7|EUKARYA|NO_SP|2,0
Q9P305|EUKARYA|NO_SP|0,0
P38922|EUKARYA|NO_SP|0,0
Q08168|EUKARYA|NO_SP|0,0
Q9LEY4|EUKARYA|NO_SP|2,0
P34370|EUKARYA|NO_SP|1,0
Q9LSE2|EUKARYA|NO_SP|1,0
Q3UZ18|EUKARYA|NO_SP|2,0
Q10439|EUKARYA|NO_SP|1,0
F4IPE3|EUKARYA|NO_SP|2,0
O81796|EUKARYA|NO_SP|0,0
Q8RWL4|EUKARYA|NO_SP|1,0
Q9BTL4|EUKARYA|NO_SP|1,0
Q9P7S9|EUKARYA|NO_SP|2,0
O82499|EUKARYA|NO_SP|1,0
O49595|EUKARYA|NO_SP|0,0
P52927|EUKARYA|NO_SP|0,0
P93047|EUKARYA|NO_SP|0,0
O81027|EUKARYA|NO_SP|1,0
Q84JU6|EUKARYA|NO_SP|2,0
Q24142|EUKARYA|NO_SP|0,0
Q05549|EUKARYA|NO_SP|1,0
Q9FX67|EUKARYA|NO_SP|2,0
Q92598|EUKARYA|NO_SP|2,0
P02829|EUKARYA|NO_SP|2,0
Q18688|EUKARYA|NO_SP|2,0
Q16082|EUKARYA|NO_SP|0,0
Q09811|EUKARYA|NO_SP|1,0
Q7TMY8|EUKARYA|NO_SP|2,0
Q8W191|EUKARYA|NO_SP|0,0
Q8WUF5|EUKARYA|NO_SP|1,0
P53892|EUKARYA|NO_SP|1,0
Q8WZK3|EUKARYA|NO_SP|1,0
Q6NT76|EUKARYA|NO_SP|1,0
P05204|EUKARYA|NO_SP|0,0
P82970|EUKARYA|NO_SP|0,0
Q9C9W5|EUKARYA|NO_SP|1,0
